InventoryID,SnapshotDateKey,WarehouseID,ProductID,OpeningStock,ReceivedStock,SoldStock,DamagedStock,ClosingStock,ReorderLevel,StockStatus
INV00000001,20260625,W000001,P000276,1454,57,327,4,1180,250,Healthy
INV00000002,20260625,W000001,P000275,1050,114,374,1,789,250,Healthy
INV00000003,20260625,W000001,P000278,1492,379,1490,1,380,250,Medium Stock
INV00000004,20260625,W000001,P000277,1404,216,356,0,1264,250,Healthy
INV00000005,20260625,W000001,P000272,895,111,439,8,559,250,Healthy
INV00000006,20260625,W000001,P000271,1416,13,859,3,567,250,Healthy
INV00000007,20260625,W000001,P000274,1465,359,1223,3,598,250,Healthy
INV00000008,20260625,W000001,P000273,1259,301,596,0,964,250,Healthy
INV00000009,20260625,W000001,P000070,963,216,583,4,592,250,Healthy
INV00000010,20260625,W000001,P000071,959,110,557,1,511,250,Healthy
INV00000011,20260625,W000001,P000072,894,194,316,5,767,250,Healthy
INV00000012,20260625,W000001,P000067,1152,309,562,0,899,250,Healthy
INV00000013,20260625,W000001,P000068,1270,274,435,6,1103,250,Healthy
INV00000014,20260625,W000001,P000069,880,150,576,9,445,250,Medium Stock
INV00000015,20260625,W000001,P000079,996,35,252,10,769,250,Healthy
INV00000016,20260625,W000001,P000080,1033,148,317,3,861,250,Healthy
INV00000017,20260625,W000001,P000081,903,194,503,7,587,250,Healthy
INV00000018,20260625,W000001,P000082,1450,427,1122,2,753,250,Healthy
INV00000019,20260625,W000001,P000083,1179,181,486,10,864,250,Healthy
INV00000020,20260625,W000001,P000084,1073,36,844,10,255,250,Medium Stock
INV00000021,20260625,W000001,P000076,975,273,995,3,250,250,Low Stock
INV00000022,20260625,W000001,P000077,967,236,628,4,571,250,Healthy
INV00000023,20260625,W000001,P000078,1455,352,810,10,987,250,Healthy
INV00000024,20260625,W000001,P000073,1132,28,466,0,694,250,Healthy
INV00000025,20260625,W000001,P000074,1123,205,539,1,788,250,Healthy
INV00000026,20260625,W000001,P000075,1016,290,996,5,305,250,Medium Stock
INV00000027,20260625,W000001,P000063,1017,255,659,10,603,250,Healthy
INV00000028,20260625,W000001,P000062,1269,73,539,2,801,250,Healthy
INV00000029,20260625,W000001,P000061,1052,287,818,4,517,250,Healthy
INV00000030,20260625,W000001,P000066,1398,219,1242,9,366,250,Medium Stock
INV00000031,20260625,W000001,P000065,1208,185,502,2,889,250,Healthy
INV00000032,20260625,W000001,P000064,1321,252,407,0,1166,250,Healthy
INV00000033,20260625,W000001,P000060,912,78,361,10,619,250,Healthy
INV00000034,20260625,W000001,P000059,1232,305,372,6,1159,250,Healthy
INV00000035,20260625,W000001,P000058,1190,305,778,8,709,250,Healthy
INV00000036,20260625,W000001,P000057,1057,283,279,10,1051,250,Healthy
INV00000037,20260625,W000001,P000056,917,274,511,10,670,250,Healthy
